t: 0	x_0: 1000	x_1: 0	
t: 3.2199999999999753	x_0: -791.8205025348287	x_1: 1912.1601784525717	
t: 3.229999999999975	x_0: -772.3109087040609	x_1: 1988.8216292135432	
t: 3.239999999999975	x_0: -752.0442600666605	x_1: 2063.5335756682266	
t: 3.2499999999999747	x_0: -731.0404226225456	x_1: 2136.222781702682	
t: 3.2599999999999745	x_0: -709.3199849984338	x_1: 2206.817993956657	
t: 3.2699999999999743	x_0: -686.904238266218	x_1: 2275.250011669465	
t: 3.279999999999974	x_0: -663.815155072773	x_1: 2341.4517545138365	
t: 3.289999999999974	x_0: -640.075368101649	x_1: 2405.3583283512567	
t: 3.2999999999999736	x_0: -615.7081478877667	x_1: 2466.907088844326	
t: 3.3099999999999734	x_0: -590.7373800068584	x_1: 2526.0377028637936	
t: 3.319999999999973	x_0: -565.1875416620171	x_1: 2582.6922076300625	
t: 3.329999999999973	x_0: -539.0836776903021	x_1: 2636.8150675312013	
t: 3.3399999999999728	x_0: -512.4513760129219	x_1: 2688.3532285617607	
t: 3.3499999999999726	x_0: -485.3167425530579	x_1: 2737.2561703290316	
t: 3.3599999999999723	x_0: -457.7063756459166	x_1: 2783.47595557577	
t: 3.369999999999972	x_0: -429.6473399660924	x_1: 2826.967277170838	
t: 3.379999999999972	x_0: -401.16713999780063	x_1: 2867.6875025217014	
t: 3.3899999999999717	x_0: -372.2936930739847	x_1: 2905.59671536525	
t: 3.3999999999999715	x_0: -343.05530201072594	x_1: 2940.6577548959717	
t: 3.4099999999999713	x_0: -313.48062736378097	x_1: 2972.836252193124	
t: 3.419999999999971	x_0: -283.5986593344415	x_1: 3002.1006639111997	
t: 3.429999999999971	x_0: -253.4386893522556	x_1: 3028.4223032006585	
t: 3.4399999999999706	x_0: -223.0302813624664	x_1: 3051.7753678286113	
t: 3.4499999999999704	x_0: -192.40324284631268	x_1: 3072.136965471897	
t: 3.45999999999997	x_0: -161.587595602599	x_1: 3089.4871361577543	
t: 3.46999999999997	x_0: -130.61354631917618	x_1: 3103.808871830092	
t: 3.47999999999997	x_0: -99.51145696317886	x_1: 3115.0881330221746	
t: 3.4899999999999696	x_0: -68.31181501904516	x_1: 3123.3138626193854	
t: 3.4999999999999694	x_0: -37.04520360349197	x_1: 3128.4779966985684	
t: 3.509999999999969	x_0: -5.742271486740574	x_1: 3130.5754724333283	
t: 3.519999999999969	x_0: 25.566296950621215	x_1: 3129.6042330575365	
t: 3.5299999999999687	x_0: 56.84981179569078	x_1: 3125.5652298821774	
t: 3.5399999999999685	x_0: 88.07760768673268	x_1: 3118.4624213635575	
t: 3.5499999999999683	x_0: 119.21907387260175	x_1: 3108.3027692237897	
